national_team_name,player_1_name,player_1_value,player_2_name,player_2_value,player_3_name,player_3_value,player_4_name,player_4_value,player_5_name,player_5_value,player_6_name,player_6_value,player_7_name,player_7_value,player_8_name,player_8_value,player_9_name,player_9_value,player_10_name,player_10_value,player_11_name,player_11_value,player_12_name,player_12_value,player_13_name,player_13_value,player_14_name,player_14_value,player_15_name,player_15_value,player_16_name,player_16_value,player_17_name,player_17_value,player_18_name,player_18_value,player_19_name,player_19_value,player_20_name,player_20_value,player_21_name,player_21_value,player_22_name,player_22_value,player_23_name,player_23_value,player_24_name,player_24_value,player_25_name,player_25_value,player_26_name,player_26_value
England - Club profile  | Transfermarkt,Aaron Ramsdale,€30.00m,Jordan Pickford,€28.00m,Nick Pope,€18.00m,Ben White,€45.00m,John Stones,€30.00m,Harry Maguire,€30.00m,Eric Dier,€30.00m,Conor Coady,€18.00m,Luke Shaw,€28.00m,Trent Alexander-Arnold,€70.00m,Kyle Walker,€15.00m,Kieran Trippier,€13.00m,Declan Rice,€80.00m,Kalvin Phillips,€45.00m,Phil Foden,€110.00m,Jude Bellingham,€100.00m,Conor Gallagher,€32.00m,Jordan Henderson,€15.00m,Bukayo Saka,€90.00m,Mason Mount,€75.00m,James Maddison,€55.00m,Jack Grealish,€70.00m,Raheem Sterling,€70.00m,Marcus Rashford,€55.00m,Harry Kane,€90.00m,Callum Wilson,€18.00m
Uruguay - Club profile  | Transfermarkt,Sergio Rochet,€4.00m,Fernando Muslera,€1.70m,Sebastián Sosa,€800k,Ronald Araújo,€60.00m,José María Giménez,€40.00m,Sebastián Coates,€6.00m,Diego Godín,€700k,Martín Cáceres,€500k,Mathías Olivera,€15.00m,Matías Viña,€6.00m,Guillermo Varela,€2.00m,José Luis Rodríguez,€2.00m,Manuel Ugarte,€18.00m,Lucas Torreira,€15.00m,Federico Valverde,€100.00m,Rodrigo Bentancur,€40.00m,Nicolás de la Cruz,€13.00m,Matías Vecino,€4.50m,Giorgian de Arrascaeta,€19.00m,Facundo Torres,€8.00m,Agustín Canobbio,€4.00m,Facundo Pellistri,€3.00m,Darwin Núñez,€70.00m,Maxi Gómez,€7.50m,Edinson Cavani,€5.00m,Luis Suárez,€4.00m
Belgium - Club profile  | Transfermarkt,Thibaut Courtois,€60.00m,Koen Casteels,€8.00m,Simon Mignolet,€5.00m,Arthur Theate,€20.00m,Wout Faes,€20.00m,Zeno Debast,€8.00m,Toby Alderweireld,€4.00m,Jan Vertonghen,€1.80m,Timothy Castagne,€28.00m,Thomas Meunier,€6.50m,Amadou Onana,€35.00m,Leander Dendoncker,€22.00m,Axel Witsel,€5.00m,Youri Tielemans,€40.00m,Kevin De Bruyne,€80.00m,Charles De Ketelaere,€30.00m,Hans Vanaken,€15.00m,Yannick Carrasco,€30.00m,Leandro Trossard,€30.00m,Thorgan Hazard,€9.00m,Eden Hazard,€7.50m,Jérémy Doku,€18.00m,Romelu Lukaku,€55.00m,Loïs Openda,€12.00m,Michy Batshuayi,€10.00m,Dries Mertens,€3.40m
Poland - Club profile  | Transfermarkt,Wojciech Szczesny,€13.00m,Kamil Grabara,€5.00m,Lukasz Skorupski,€3.00m,Jan Bednarek,€18.00m,Jakub Kiwior,€6.00m,Mateusz Wieteska,€3.00m,Kamil Glik,€800k,Artur Jedrzejczyk,€300k,Matty Cash,€22.00m,Robert Gumny,€3.50m,Bartosz Bereszynski,€3.00m,Grzegorz Krychowiak,€6.00m,Krystian Bielik,€3.00m,Szymon Zurkowski,€5.80m,Damian Szymanski,€2.00m,Przemyslaw Frankowski,€7.00m,Nicola Zalewski,€15.00m,Piotr Zielinski,€40.00m,Sebastian Szymanski,€14.00m,Jakub Kaminski,€10.00m,Kamil Grosicki,€700k,Michal Skoras,€3.50m,Robert Lewandowski,€45.00m,Krzysztof Piatek,€11.00m,Arkadiusz Milik,€10.00m,Karol Swiderski,€5.00m
Morocco - Club profile  | Transfermarkt,Bono,€15.00m,Ahmed Reda Tagnaouti,€1.80m,Munir,€1.20m,Nayef Aguerd,€25.00m,Romain Saïss,€6.50m,Achraf Dari,€2.50m,Jawad El Yamiq,€1.20m,Badr Benoun,€1.00m,Yahia Attiyat Allah,€1.50m,Achraf Hakimi,€65.00m,Noussair Mazraoui,€25.00m,Sofyan Amrabat,€10.00m,Yahya Jabrane,€1.90m,Azzedine Ounahi,€3.50m,Hakim Ziyech,€17.00m,Ilias Chair,€10.00m,Selim Amallah,€4.50m,Bilal El Khannouss,€4.50m,Abdelhamid Sabiri,€3.00m,Ez Abde,€8.00m,Sofiane Boufal,€8.00m,Anass Zaroury,€4.00m,Zakaria Aboukhlal,€3.50m,Youssef En-Nesyri,€12.00m,Abderrazak Hamdallah,€3.00m,Walid Cheddira,€2.50m
South Korea - Club profile  | Transfermarkt,Hyeon-woo Jo,€1.30m,Bum-keun Song,€1.10m,Seung-gyu Kim,€900k,Min-jae Kim,€35.00m,Kyung-won Kwon,€800k,Yu-min Cho,€700k,Young-gwon Kim,€600k,Jin-su Kim,€575k,Chul Hong,€500k,Moon-hwan Kim,€950k,Tae-hwan Kim,€900k,Jong-gyu Yoon,€650k,Jun-ho Son,€3.50m,Woo-young Jung,€600k,In-beom Hwang,€3.50m,Seung-ho Paik,€1.00m,Kang-in Lee,€12.00m,Jae-sung Lee,€3.00m,Heung-min Son,€70.00m,Min-kyu Song,€1.20m,Sang-ho Na,€900k,Chang-hoon Kwon,€900k,Woo-yeong Jeong,€5.50m,Hee-chan Hwang,€12.00m,Ui-jo Hwang,€5.00m,Gue-sung Cho,€1.40m
Switzerland - Club profile  | Transfermarkt,Gregor Kobel,€25.00m,Jonas Omlin,€7.00m,Yann Sommer,€5.00m,Philipp Köhn,€4.00m,Manuel Akanji,€30.00m,Nico Elvedi,€20.00m,Fabian Schär,€10.00m,Eray Cömert,€4.00m,Ricardo Rodríguez,€3.50m,Silvan Widmer,€5.00m,Denis Zakaria,€20.00m,Ardon Jashari,€2.50m,Fabian Frei,€500k,Granit Xhaka,€28.00m,Djibril Sow,€22.00m,Remo Freuler,€13.00m,Michel Aebischer,€3.50m,Edimilson Fernandes,€3.00m,Fabian Rieder,€10.00m,Rubén Vargas,€6.00m,Xherdan Shaqiri,€4.00m,Christian Fassnacht,€3.00m,Renato Steffen,€1.00m,Noah Okafor,€25.00m,Breel Embolo,€20.00m,Haris Seferovic,€6.00m
Croatia - Club profile  | Transfermarkt,Dominik Livakovic,€8.50m,Ivica Ivusic,€5.00m,Ivo Grbic,€3.50m,Josko Gvardiol,€60.00m,Josip Sutalo,€18.00m,Martin Erlic,€5.50m,Dejan Lovren,€3.50m,Domagoj Vida,€2.00m,Borna Sosa,€20.00m,Borna Barisic,€6.50m,Josip Stanisic,€8.00m,Josip Juranovic,€6.50m,Marcelo Brozovic,€35.00m,Kristijan Jakic,€9.00m,Mateo Kovacic,€40.00m,Luka Modric,€10.00m,Ivan Perisic,€10.00m,Mario Pasalic,€25.00m,Lovro Majer,€22.00m,Nikola Vlasic,€20.00m,Luka Sucic,€20.00m,Mislav Orsic,€10.00m,Andrej Kramaric,€9.00m,Marko Livaja,€8.00m,Bruno Petkovic,€6.00m,Ante Budimir,€6.00m
Argentina - Club profile  | Transfermarkt,Emiliano Martínez,€25.00m,Gerónimo Rulli,€10.00m,Franco Armani,€3.20m,Cristian Romero,€55.00m,Lisandro Martínez,€50.00m,Germán Pezzella,€5.00m,Nicolás Otamendi,€3.00m,Marcos Acuña,€14.00m,Nicolás Tagliafico,€9.00m,Juan Foyth,€25.00m,Nahuel Molina,€18.00m,Gonzalo Montiel,€12.00m,Guido Rodríguez,€28.00m,Leandro Paredes,€15.00m,Rodrigo de Paul,€35.00m,Enzo Fernández,€35.00m,Alexis Mac Allister,€32.00m,Exequiel Palacios,€15.00m,Thiago Almada,€15.00m,Papu Gómez,€4.00m,Lionel Messi,€50.00m,Ángel Correa,€40.00m,Ángel Di María,€10.00m,Paulo Dybala,€30.00m,Lautaro Martínez,€75.00m,Julián Álvarez,€32.00m
Qatar - Club profile  | Transfermarkt,Meshaal Barsham,€450k,Saad Al-Sheeb,€200k,Yousef Hassan,€150k,Bassam Al-Rawi,€500k,Tarek Salman,€400k,Boualem Khoukhi,€400k,Pedro Miguel,€325k,Jassem Gaber Abdulsallam,€175k,Abdelkarim Hassan,€750k,Homam Ahmed,€500k,Musab Khoder,€250k,Karim Boudiaf,€450k,Mohammed Waad,€400k,Assim Madibo,€300k,Salem Al-Hajri,€250k,Abdulaziz Hatem,€500k,Mustafa Mashaal,€150k,Ali Asad,€200k,Akram Afif,€4.00m,Khalid Muneer Mazeed,€250k,Hasan Al-Haydos,€900k,Naif Al-Hadhrami,€275k,Ismaeel Mohammed,€225k,Almoez Ali,€2.00m,Ahmed Alaaeldin,€600k,Mohammed Muntari,€300k
Spain - Club profile  | Transfermarkt,Robert Sánchez,€32.00m,Unai Simón,€25.00m,David Raya,€22.00m,Pau Torres,€50.00m,Aymeric Laporte,€38.00m,Eric García,€18.00m,Alejandro Balde,€15.00m,Jordi Alba,€5.00m,Daniel Carvajal,€18.00m,César Azpilicueta,€8.00m,Rodri,€80.00m,Hugo Guillamón,€25.00m,Sergio Busquets,€5.00m,Pedri,€100.00m,Gavi,€90.00m,Marcos Llorente,€35.00m,Carlos Soler,€35.00m,Koke,€18.00m,Dani Olmo,€40.00m,Ansu Fati,€50.00m,Ferran Torres,€35.00m,Yéremy Pino,€38.00m,Marco Asensio,€25.00m,Nico Williams,€25.00m,Pablo Sarabia,€20.00m,Álvaro Morata,€25.00m
United States - Club profile  | Transfermarkt,Matt Turner,€5.00m,Sean Johnson,€1.50m,Ethan Horvath,€1.00m,Cameron Carter-Vickers,€9.50m,Walker Zimmerman,€3.50m,Aaron Long,€3.00m,Tim Ream,€1.00m,Antonee Robinson,€10.00m,Sergiño Dest,€16.00m,Joe Scally,€12.00m,DeAndre Yedlin,€2.00m,Shaq Moore,€1.00m,Tyler Adams,€17.00m,Kellyn Acosta,€3.00m,Weston McKennie,€21.00m,Yunus Musah,€20.00m,Cristian Roldán,€6.00m,Luca de la Torre,€2.00m,Giovanni Reyna,€35.00m,Brenden Aaronson,€30.00m,Jordan Morris,€4.50m,Christian Pulisic,€38.00m,Timothy Weah,€12.00m,Josh Sargent,€12.00m,Jesús Ferreira,€8.00m,Haji Wright,€3.40m
Costa Rica - Club profile  | Transfermarkt,Keylor Navas,€5.00m,Esteban Alvarado,€225k,Patrick Sequeira,€200k,Juan Pablo Vargas,€1.70m,Francisco Calvo,€1.70m,Óscar Duarte,€600k,Daniel Chacón,€300k,Kendall Waston,€175k,Ronald Matarrita,€1.50m,Bryan Oviedo,€200k,Carlos Martínez,€275k,Keysher Fuller,€250k,Yeltsin Tejeda,€275k,Douglas López,€275k,Youstin Salas,€250k,Roan Wilson,€250k,Celso Borges,€200k,Gerson Torres,€325k,Álvaro Zamora,€200k,Brandon Aguilera,€275k,Bryan Ruiz,€150k,Jewison Bennette,€1.00m,Joel Campbell,€2.50m,Anthony Hernández,€250k,Anthony Contreras,€375k,Johan Venegas,€300k
Saudi Arabia - Club profile  | Transfermarkt,Mohammed Al-Owais,€700k,Mohammed Al-Rubaie,€600k,Nawaf Al-Aqidi,€200k,Abdulelah Al-Amri,€1.20m,Hassan Tambakti,€1.00m,Abdullah Madu,€900k,Ali Al-Boleahi,€400k,Yasser Al-Shahrani,€1.50m,Nasser Al-Dawsari,€700k,Sultan Al-Ghannam,€2.50m,Saud Abdulhamid,€1.70m,Mohammed Al-Burayk,€1.20m,Ali Al-Hassan,€500k,Riad Sharahili,€400k,Abdullah Otayf,€300k,Mohamed Kanno,€1.20m,Abdulelah Al-Malki,€800k,Salman Al-Faraj,€500k,Sami Al-Najei,€1.50m,Nawaf Al-Abed,€300k,Salem Al-Dawsari,€1.80m,Abdulrahman Al-Oboud,€1.50m,Hattan Bahebri,€900k,Firas Al-Buraikan,€1.80m,Saleh Al-Shehri,€700k,Haitham Asiri,€400k
Iran - Club profile  | Transfermarkt,Amir Abedzadeh,€1.50m,Alireza Beiranvand,€1.00m,Hossein Hosseini,€525k,Payam Niazmand,€500k,Majid Hosseini,€3.00m,Hossein Kanaani,€2.00m,Morteza Pouraliganji,€700k,Shoja Khalilzadeh,€300k,Milad Mohammadi,€2.00m,Ehsan Hajsafi,€800k,Abolfazl Jalali,€400k,Sadegh Moharrami,€2.00m,Ramin Rezaeian,€450k,Roozbeh Cheshmi,€500k,Saeid Ezatolahi,€400k,Ahmad Nourollahi,€2.00m,Ali Karimi,€100k,Saman Ghoddos,€2.20m,Mehdi Torabi,€800k,Vahid Amiri,€350k,Alireza Jahanbakhsh,€3.00m,Ali Gholizadeh,€2.00m,Mehdi Taremi,€20.00m,Sardar Azmoun,€12.00m,Karim Ansarifard,€1.00m
Tunisia - Club profile  | Transfermarkt,Aymen Dahmen,€950k,Bechir Ben Said,€900k,Mouez Hassen,€450k,Aymen Balbouli,€50k,Montassar Talbi,€4.00m,Dylan Bronn,€3.00m,Yassine Meriah,€2.00m,Nader Ghandri,€650k,Bilel Ifa,€350k,Ali Maâloul,€1.50m,Ali Abdi,€1.50m,Mohamed Dräger,€1.30m,Wajdi Kechrida,€800k,Ellyes Skhiri,€13.00m,Aïssa Laïdouni,€4.00m,Anis Slimane,€3.50m,Mohamed Ali Ben Romdhane,€2.70m,Ferjani Sassi,€1.75m,Ghaylen Chaaleli,€1.20m,Hannibal Mejbri,€6.00m,Naïm Sliti,€6.00m,Youssef Msakni,€1.20m,Issam Jebali,€500k,Wahbi Khazri,€3.00m,Seifeddine Jaziri,€1.50m,Taha Yassine Khenissi,€600k
Wales - Club profile  | Transfermarkt,Danny Ward,€8.00m,Wayne Hennessey,€500k,Adam Davies,€500k,Joe Rodon,€9.00m,Ethan Ampadu,€9.00m,Ben Cabango,€8.00m,Chris Mepham,€6.00m,Tom Lockyer,€2.00m,Ben Davies,€20.00m,Neco Williams,€18.00m,Connor Roberts,€6.00m,Chris Gunter,€300k,Matt Smith,€600k,Aaron Ramsey,€3.00m,Joe Allen,€1.00m,Dylan Levitt,€850k,Joe Morrell,€500k,Rubin Colwill,€1.50m,Jonathan Williams,€400k,Harry Wilson,€17.00m,Daniel James,€16.00m,Sorba Thomas,€5.00m,Gareth Bale,€2.00m,Brennan Johnson,€20.00m,Kieffer Moore,€4.00m,Mark Harris,€1.00m
Ecuador - Club profile  | Transfermarkt,Moisés Ramírez,€1.00m,Hernán Galíndez,€600k,Alexander Domínguez,€600k,Piero Hincapié,€22.00m,Félix Torres,€6.00m,William Pacho,€3.50m,Jackson Porozo,€3.00m,Robert Arboleda,€2.00m,Xavier Arreaga,€2.00m,Pervis Estupiñán,€20.00m,Diego Palacios,€4.00m,Angelo Preciado,€3.20m,Carlos Gruezo,€4.00m,Jhegson Méndez,€1.50m,Moisés Caicedo,€38.00m,José Cifuentes,€12.00m,Alan Franco,€2.50m,Jeremy Sarmiento,€3.00m,Ayrton Preciado,€2.50m,Romario Ibarra,€1.80m,Gonzalo Plata,€5.00m,Ángel Mena,€1.50m,Michael Estrada,€3.00m,Enner Valencia,€3.00m,Djorkaeff Reasco,€500k,Kevin Rodríguez,€300k
Netherlands - Club profile  | Transfermarkt,Justin Bijlow,€13.00m,Andries Noppert,€2.00m,Remko Pasveer,€250k,Matthijs de Ligt,€70.00m,Virgil van Dijk,€50.00m,Jurrien Timber,€45.00m,Nathan Aké,€30.00m,Stefan de Vrij,€15.00m,Tyrell Malacia,€22.00m,Daley Blind,€6.00m,Jeremie Frimpong,€25.00m,Teun Koopmeiners,€30.00m,Marten de Roon,€12.00m,Frenkie de Jong,€50.00m,Kenneth Taylor,€14.00m,Denzel Dumfries,€28.00m,Xavi Simons,€18.00m,Steven Berghuis,€14.00m,Davy Klaassen,€12.00m,Cody Gakpo,€45.00m,Steven Bergwijn,€27.00m,Noa Lang,€15.00m,Memphis Depay,€20.00m,Wout Weghorst,€14.00m,Vincent Janssen,€6.00m,Luuk de Jong,€4.00m
Canada - Club profile  | Transfermarkt,Dayne St. Clair,€1.50m,Milan Borjan,€1.20m,James Pantemis,€400k,Kamal Miller,€4.00m,Joel Waterman,€2.00m,Derek Cornelius,€800k,Steven Vitória,€100k,Alphonso Davies,€70.00m,Sam Adekugbe,€2.00m,Alistair Johnston,€6.00m,Richie Laryea,€2.50m,Samuel Piette,€2.50m,Liam Fraser,€900k,Atiba Hutchinson,€200k,Stephen Eustaquio,€8.00m,Ismaël Koné,€6.00m,Jonathan Osorio,€3.50m,Mark-Anthony Kaye,€3.00m,David Wotherspoon,€600k,Liam Millar,€2.30m,Junior Hoilett,€800k,Tajon Buchanan,€12.00m,Jonathan David,€45.00m,Cyle Larin,€6.00m,Iké Ugbo,€4.00m,Lucas Cavallini,€2.00m
Mexico - Club profile  | Transfermarkt,Rodolfo Cota,€1.20m,Guillermo Ochoa,€1.20m,Alfredo Talavera,€800k,César Montes,€7.00m,Johan Vásquez,€3.60m,Néstor Araújo,€3.00m,Héctor Moreno,€1.50m,Gerardo Arteaga,€5.00m,Jesús Gallardo,€3.00m,Jorge Sánchez,€6.00m,Kevin Álvarez,€6.00m,Edson Álvarez,€35.00m,Luis Romo,€6.50m,Luis Chávez,€6.50m,Carlos Rodríguez,€8.00m,Érick Gutiérrez,€7.00m,Orbelín Pineda,€4.00m,Héctor Herrera,€2.80m,Andrés Guardado,€1.50m,Hirving Lozano,€28.00m,Roberto Alvarado,€5.00m,Uriel Antuna,€4.00m,Raúl Jiménez,€12.00m,Alexis Vega,€8.00m,Henry Martín,€6.00m,Rogelio Funes Mori,€3.50m
Ghana - Club profile  | Transfermarkt,Lawrence Ati Zigi,€2.50m,Abdul Nurudeen,€400k,Ibrahim Danlad,€150k,Mohammed Salisu,€18.00m,Daniel Amartey,€15.00m,Alexander Djiku,€8.00m,Joseph Aidoo,€7.00m,Alidu Seidu,€4.50m,Gideon Mensah,€2.00m,Abdul-Rahman Baba,€1.80m,Tariq Lamptey,€15.00m,Denis Odoi,€600k,Thomas Partey,€38.00m,Salis Abdul Samed,€10.00m,Elisha Owusu,€2.50m,Mohammed Kudus,€15.00m,Daniel-Kofi Kyereh,€8.00m,Kamaldeen Sulemana,€18.00m,André Ayew,€2.20m,Daniel Afriyie,€250k,Kamal Sowah,€6.00m,Osman Bukari,€5.00m,Issahaku Fatawu,€3.00m,Iñaki Williams,€25.00m,Jordan Ayew,€6.00m,Antoine Semenyo,€3.00m
Denmark - Club profile  | Transfermarkt,Oliver Christensen,€4.50m,Frederik Rönnow,€3.50m,Kasper Schmeichel,€2.50m,Joachim Andersen,€32.00m,Andreas Christensen,€30.00m,Victor Nelsson,€14.00m,Simon Kjaer,€5.00m,Joakim Maehle,€14.00m,Rasmus Kristensen,€15.00m,Alexander Bah,€8.00m,Jens Stryger Larsen,€2.00m,Christian Nörgaard,€14.00m,Pierre-Emile Höjbjerg,€45.00m,Mathias Jensen,€14.00m,Thomas Delaney,€3.00m,Daniel Wass,€2.50m,Andreas Skov Olsen,€20.00m,Jesper Lindström,€28.00m,Christian Eriksen,€25.00m,Mikkel Damsgaard,€15.00m,Robert Skov,€9.00m,Jonas Wind,€14.00m,Kasper Dolberg,€12.00m,Yussuf Poulsen,€10.00m,Andreas Cornelius,€6.00m,Martin Braithwaite,€5.00m
Germany - Club profile  | Transfermarkt,Marc-André ter Stegen,€30.00m,Manuel Neuer,€12.00m,Kevin Trapp,€8.50m,Antonio Rüdiger,€40.00m,Niklas Süle,€35.00m,Nico Schlotterbeck,€33.00m,Thilo Kehrer,€22.00m,Matthias Ginter,€20.00m,Armel Bella-Kotchap,€18.00m,David Raum,€26.00m,Christian Günter,€10.00m,Lukas Klostermann,€14.00m,Joshua Kimmich,€80.00m,Leon Goretzka,€65.00m,Ilkay Gündogan,€25.00m,Jamal Musiala,€100.00m,Kai Havertz,€70.00m,Julian Brandt,€28.00m,Mario Götze,€13.00m,Leroy Sané,€70.00m,Serge Gnabry,€65.00m,Karim Adeyemi,€35.00m,Jonas Hofmann,€13.00m,Thomas Müller,€18.00m,Youssoufa Moukoko,€30.00m,Niclas Füllkrug,€5.00m
Portugal - Club profile  | Transfermarkt,Diogo Costa,€35.00m,José Sá,€18.00m,Rui Patrício,€5.00m,Rúben Dias,€75.00m,António Silva,€15.00m,Pepe,€1.00m,Nuno Mendes,€60.00m,Raphaël Guerreiro,€20.00m,João Cancelo,€70.00m,Diogo Dalot,€32.00m,Rúben Neves,€40.00m,João Palhinha,€28.00m,William Carvalho,€16.00m,Danilo Pereira,€12.00m,Vitinha,€45.00m,Matheus Nunes,€45.00m,Otávio,€30.00m,Bernardo Silva,€80.00m,Bruno Fernandes,€75.00m,João Mário,€12.00m,Rafael Leão,€85.00m,Ricardo Horta,€20.00m,João Félix,€50.00m,André Silva,€24.00m,Gonçalo Ramos,€24.00m,Cristiano Ronaldo,€20.00m
France - Club profile  | Transfermarkt,Alphonse Areola,€8.00m,Hugo Lloris,€7.00m,Steve Mandanda,€1.50m,Jules Koundé,€60.00m,William Saliba,€50.00m,Dayot Upamecano,€50.00m,Lucas Hernández,€50.00m,Raphaël Varane,€40.00m,Ibrahima Konaté,€35.00m,Axel Disasi,€25.00m,Theo Hernández,€55.00m,Benjamin Pavard,€35.00m,Aurélien Tchouameni,€80.00m,Jordan Veretout,€14.00m,Eduardo Camavinga,€50.00m,Mattéo Guendouzi,€25.00m,Youssouf Fofana,€25.00m,Adrien Rabiot,€18.00m,Ousmane Dembélé,€60.00m,Kingsley Coman,€60.00m,Antoine Griezmann,€25.00m,Kylian Mbappé,€160.00m,Karim Benzema,€35.00m,Randal Kolo Muani,€30.00m,Marcus Thuram,€30.00m,Olivier Giroud,€4.00m
Brazil - Club profile  | Transfermarkt,Alisson,€50.00m,Ederson,€45.00m,Weverton,€3.50m,Marquinhos,€70.00m,Éder Militão,€60.00m,Bremer,€40.00m,Thiago Silva,€2.50m,Alex Telles,€14.00m,Alex Sandro,€4.50m,Danilo,€12.00m,Dani Alves,€1.00m,Bruno Guimarães,€60.00m,Fabinho,€55.00m,Casemiro,€50.00m,Fred,€20.00m,Éverton Ribeiro,€4.50m,Lucas Paquetá,€45.00m,Vinicius Junior,€120.00m,Neymar,€75.00m,Gabriel Martinelli,€60.00m,Rodrygo,€80.00m,Antony,€75.00m,Raphinha,€50.00m,Gabriel Jesus,€75.00m,Richarlison,€50.00m,Pedro,€20.00m
Cameroon - Club profile  | Transfermarkt,André Onana,€14.00m,Devis Epassy,€700k,Simon Ngapandouetnbu,€400k,Christopher Wooh,€6.00m,Jean-Charles Castelletto,€4.00m,Nicolas N'Koulou,€1.80m,Enzo Ebosse,€4.50m,Nouhou Tolo,€3.00m,Olivier Mbaizo,€1.50m,Collins Fai,€1.00m,Frank Anguissa,€38.00m,Martin Hongla,€3.50m,Samuel Oum Gouet,€1.30m,Gaël Ondoua,€800k,Olivier Ntcham,€2.80m,Pierre Kunde,€2.00m,Karl Toko Ekambi,€12.00m,Georges-Kevin N'Koudou,€5.50m,Nicolas Moumi Ngamaleu,€4.00m,Jerome Ngom Mbekeli,€300k,Bryan Mbeumo,€28.00m,Christian Bassogog,€4.50m,Eric Maxim Choupo-Moting,€6.00m,Vincent Aboubakar,€5.00m,Jean-Pierre Nsame,€4.00m,Souaibou Marou,€400k
Serbia - Club profile  | Transfermarkt,Predrag Rajković,€10.00m,Marko Dmitrović,€5.00m,Vanja Milinković-Savić,€2.50m,Strahinja Pavlovic,€20.00m,Nikola Milenković,€20.00m,Strahinja Eraković,€7.00m,Miloš Veljković,€5.00m,Srdjan Babic,€3.00m,Stefan Mitrović,€2.00m,Marko Grujić,€9.00m,Uroš Račić,€6.50m,Nemanja Gudelj,€4.00m,Sergej Milinković-Savić,€60.00m,Saša Lukić,€13.00m,Ivan Ilić,€13.00m,Nemanja Maksimović,€10.00m,Filip Kostić,€24.00m,Darko Lazović,€2.50m,Filip Mladenovic,€1.50m,Filip Djuricic,€2.50m,Dusan Tadić,€7.00m,Nemanja Radonjić,€4.00m,Andrija Zivkovic,€6.00m,Dušan Vlahović,€80.00m,Aleksandar Mitrović,€28.00m,Luka Jović,€14.00m
Australia - Club profile  | Transfermarkt,Mathew Ryan,€5.00m,Andrew Redmayne,€500k,Danny Vukovic,€150k,Harry Souttar,€4.50m,Milos Degenek,€2.00m,Bailey Wright,€700k,Kye Rowles,€600k,Thomas Deng,€600k,Aziz Behich,€700k,Joel King,€500k,Fran Karacic,€1.20m,Nathaniel Atkinson,€1.00m,Cammy Devlin,€700k,Keanu Baccus,€650k,Aaron Mooy,€4.00m,Riley McGree,€2.00m,Jackson Irvine,€2.00m,Ajdin Hrustic,€1.80m,Awer Mabil,€1.50m,Craig Goodwin,€1.20m,Mathew Leckie,€800k,Marco Tilio,€900k,Jamie Maclaren,€1.80m,Jason Cummings,€900k,Mitchell Duke,€800k,Garang Kuol,€800k
Senegal - Club profile  | Transfermarkt,Edouard Mendy,€25.00m,Alfred Gomis,€3.00m,Seny Dieng,€1.50m,Kalidou Koulibaly,€35.00m,Abdou Diallo,€15.00m,Pape Abou Cissé,€6.00m,Formose Mendy,€2.50m,Ismail Jakobs,€7.00m,Fodé Ballo-Touré,€3.50m,Moussa N'Diaye,€1.50m,Youssouf Sabaly,€4.00m,Pape Gueye,€10.00m,Nampalys Mendy,€3.50m,Mamadou Loum,€3.50m,Cheikhou Kouyaté,€3.00m,Pape Matar Sarr,€15.00m,Idrissa Gueye,€8.00m,Pathé Ciss,€4.00m,Moustapha Name,€2.00m,Iliman Ndiaye,€3.50m,Ismaïla Sarr,€22.00m,Nicolas Jackson,€15.00m,Krépin Diatta,€13.00m,Boulaye Dia,€12.00m,Bamba Dieng,€8.00m,Famara Diédhiou,€3.00m
Japan - Club profile  | Transfermarkt,Daniel Schmidt,€1.50m,Shuichi Gonda,€500k,Eiji Kawashima,€200k,Ko Itakura,€7.50m,Hiroki Ito,€5.50m,Shogo Taniguchi,€1.80m,Maya Yoshida,€1.50m,Yuto Nagatomo,€400k,Takehiro Tomiyasu,€25.00m,Miki Yamane,€1.70m,Hiroki Sakai,€1.70m,Hidemasa Morita,€7.00m,Wataru Endo,€6.50m,Ao Tanaka,€1.80m,Gaku Shibasaki,€1.00m,Daichi Kamada,€30.00m,Takumi Minamino,€10.00m,Kaoru Mitoma,€6.00m,Daizen Maeda,€4.00m,Yuki Soma,€1.20m,Ritsu Doan,€12.00m,Takefusa Kubo,€12.00m,Junya Ito,€9.00m,Takuma Asano,€3.00m,Ayase Ueda,€2.00m,Shuto Machino,€1.20m
